"STATION_ID","BEGIN","END","STATION_HEIGHT","LAT","LON","STATION_NAME","BUNDESLAND"
"05158",1987-12-01,2020-06-09,162,52.1601,11.1759,"Ummendorf","Sachsen-Anhalt"
"05229",1947-01-01,2020-06-09,719,48.0453,8.4608,"Villingen-Schwenningen","Baden-W<U+00FC>rttemberg"
"05275",1985-10-01,2020-06-09,105,49.2445,8.5374,"Wagh<U+00E4>usel-Kirrlach","Baden-W<U+00FC>rttemberg"
"05280",1981-04-01,2020-06-09,35,53.9224,10.2267,"Wittenborn","Schleswig-Holstein"
"05319",1981-08-01,2020-06-09,576,47.9167,9.7076,"Waldsee, Bad-Reute","Baden-W<U+00FC>rttemberg"
"05335",1981-01-01,2020-06-09,348,50.8963,10.5484,"Waltershausen","Th<U+00FC>ringen"
"05347",1998-01-01,2020-06-09,236,51.504,9.1118,"Warburg","Nordrhein-Westfalen"
"05397",1947-01-01,2020-06-09,440,49.6663,12.1845,"Weiden","Bayern"
"05404",1936-07-01,2020-06-09,477,48.4025,11.6946,"Weihenstephan-D<U+00FC>rnast","Bayern"
"05412",1991-05-31,2020-06-09,771,47.6802,8.1964,"Weilheim-Bierbronnen","Baden-W<U+00FC>rttemberg"
"05424",1949-03-01,2020-06-09,328,51.0177,11.3544,"Weimar-Sch<U+00F6>ndorf","Th<U+00FC>ringen"
"05426",1953-01-01,2020-06-09,553,49.3758,8.1213,"Weinbiet","Rheinland-Pfalz"
"05433",1957-01-01,2020-06-09,380,49.5534,6.812,"Weiskirchen/Saar","Saarland"
"05440",1879-01-01,2020-06-09,439,49.0115,10.9308,"Wei<U+00DF>enburg-Emetzheim","Bayern"
"05480",1975-01-01,2020-06-09,85,51.5763,7.8879,"Werl","Nordrhein-Westfalen"
"05541",1987-06-01,2020-06-09,263,50.132,8.317,"Wiesbaden-Auringen","Hessen"
"05546",1986-07-01,2020-06-09,187,52.1207,12.4585,"Wiesenburg","Brandenburg"
"05562",1995-04-01,2020-06-09,570,48.6516,8.6801,"Neubulach-Oberhaugstett","Baden-W<U+00FC>rttemberg"
"05629",1937-01-01,2020-06-09,105,51.8892,12.6445,"Wittenberg","Sachsen-Anhalt"
"05640",1969-01-01,2020-06-09,8,53.5504,7.6672,"Wittmundhafen","Niedersachsen"
"05676",1981-04-01,2020-06-09,82,52.3962,10.6892,"Wolfsburg (S<U+00FC>dwest)","Niedersachsen"
"05692",1936-01-01,2020-06-09,88,49.6051,8.3659,"Worms","Rheinland-Pfalz"
"05705",1947-01-01,2020-06-09,268,49.7704,9.9576,"W<U+00FC>rzburg","Bayern"
"05717",1937-01-01,2020-06-09,134,51.2256,7.1052,"Wuppertal-Buchenhofen","Nordrhein-Westfalen"
"05745",1948-01-01,2020-06-09,51,52.9664,13.3268,"Zehdenick","Brandenburg"
"05797",1863-12-03,2020-06-09,353,50.6878,12.4329,"Lichtentanne","Sachsen"
"05800",1998-01-01,2020-06-09,615,49.028,13.2385,"Zwiesel","Bayern"
"05822",1975-10-01,2020-06-09,40,52.863,8.6988,"Bassum","Niedersachsen"
"05825",1953-07-01,2020-06-09,40,52.6198,12.7867,"Berge","Brandenburg"
"05839",1997-07-01,2020-06-09,0,53.3881,7.2287,"Emden","Niedersachsen"
"05851",1997-03-12,2020-06-09,392,51.0806,8.8769,"Frankenberg-Geismar","Hessen"
"05856",1996-12-31,2020-06-04,476,48.5451,13.3532,"F<U+00FC>rstenzell","Bayern"
"05906",1936-01-01,2020-06-09,98,49.5062,8.5585,"Mannheim","Baden-W<U+00FC>rttemberg"
"06093",1998-02-01,2020-06-09,62,53.2139,10.4704,"Wendisch Evern","Niedersachsen"
"06105",1998-06-01,2020-06-09,14,54.3194,9.8051,"Ostenfeld (Rendsburg)","Schleswig-Holstein"
"06157",1999-02-01,2020-06-09,8,53.641,8.0808,"Wangerland-Hooksiel","Niedersachsen"
"06158",1999-07-01,2020-06-09,455,49.2247,10.6084,"Weidenbach-Weiherschneidbach","Bayern"
"06163",1999-10-04,2020-06-09,27,54.1654,10.3519,"D<U+00F6>rnick","Schleswig-Holstein"
